,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
113,0.006641817092895508,9.970246511003239e-05,0.016521310806274413,0.003516073080535703,kd_tree,38,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 38, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
112,0.0053173542022705075,0.0006120749929672006,0.01326436996459961,0.0011207402116226073,kd_tree,37,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 37, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
111,0.005986690521240234,0.0011349841972425588,0.014110374450683593,0.0016251520794003471,kd_tree,36,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 36, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
110,0.005136680603027344,0.0007069032372719116,0.014660787582397462,0.0027015193412836076,kd_tree,35,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 35, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
109,0.005409908294677734,0.0008365963746809781,0.013834714889526367,0.001985714786017626,kd_tree,34,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 34, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
108,0.005660247802734375,0.0008985179538611073,0.014092969894409179,0.0010579632719747297,kd_tree,33,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 33, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
107,0.006093454360961914,0.0011688474903660388,0.014508056640625,0.0015851945283798842,kd_tree,32,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 32, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
106,0.005236005783081055,0.0012149779407304984,0.014139032363891602,0.0019073686634442442,kd_tree,31,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 31, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
90,0.005910396575927734,0.0010203659736224852,0.014083003997802735,0.0018668381408482875,kd_tree,15,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 15, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
105,0.005873727798461914,0.0009334964138570982,0.01508488655090332,0.0012996536074449195,kd_tree,30,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
103,0.0051082134246826175,0.0008734273566765273,0.015800285339355468,0.004125265450211121,kd_tree,28,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 28, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
102,0.0054149627685546875,0.0010193402034171424,0.012912893295288086,0.001165123368958134,kd_tree,27,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 27, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
101,0.005536460876464843,0.0010445513921309893,0.014816617965698243,0.002004197677289374,kd_tree,26,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 26, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
100,0.006243562698364258,0.0006782012105330817,0.014888238906860352,0.0020236504477060295,kd_tree,25,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
99,0.0057887077331542965,0.0010222142525243617,0.014808845520019532,0.0019064183195571063,kd_tree,24,manhattan,-1,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 24, 'metric': 'manhattan', 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.9337474120082816,0.9192546583850931,0.9647302904564315,0.9481327800829875,0.9336099585062241,0.9398950198878037,0.015414090692762061,1
