,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dl_allowance,param_k,param_prune_size,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
55,16.80163586139679,5.4329147237423205,0.9092900514602661,0.20077873654994133,64,5,0.2,69,"{'dl_allowance': 64, 'k': 5, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
130,16.944863057136537,5.021464638190182,0.9310453176498413,0.22956886268376317,256,3,0.2,69,"{'dl_allowance': 256, 'k': 3, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
115,17.43531138896942,5.5849197912907,1.0268420934677125,0.22008323842509162,200,5,0.2,69,"{'dl_allowance': 200, 'k': 5, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
50,16.149140667915344,4.8698116470861965,0.9208596706390381,0.18836617118934332,64,3,0.2,69,"{'dl_allowance': 64, 'k': 3, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
135,17.790184807777404,6.108214549238092,0.9663758516311646,0.19119512146236564,256,5,0.2,69,"{'dl_allowance': 256, 'k': 5, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
110,17.060184359550476,4.9680509693663275,0.9265103816986084,0.21667479712145626,200,3,0.2,69,"{'dl_allowance': 200, 'k': 3, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
90,16.77768759727478,4.964133914032376,0.9473431825637817,0.17432423553424484,160,3,0.2,69,"{'dl_allowance': 160, 'k': 3, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
95,17.08437156677246,5.627603762596417,0.9504730463027954,0.19685057219377056,160,5,0.2,69,"{'dl_allowance': 160, 'k': 5, 'prune_size': 0.2, 'random_state': 69}",0.8388429752066116,0.7520661157024794,0.7800829875518672,0.8091286307053942,0.8257261410788381,0.7966804979253111,0.8008298755186722,0.8381742738589212,0.8630705394190872,0.8008298755186722,0.8105431912485855,0.030470089261400695,17
41,3.8415594339370727,0.7894820025192372,0.9724090576171875,0.2137344427007112,64,0,0.4,69,"{'dl_allowance': 64, 'k': 0, 'prune_size': 0.4, 'random_state': 69}",0.7933884297520661,0.8057851239669421,0.7302904564315352,0.8049792531120332,0.7966804979253111,0.8049792531120332,0.8423236514522822,0.8755186721991701,0.7966804979253111,0.8506224066390041,0.810124824251569,0.037470113172751625,27
21,3.6561392307281495,0.815830282751321,0.9532106161117554,0.22048640843704287,32,0,0.4,69,"{'dl_allowance': 32, 'k': 0, 'prune_size': 0.4, 'random_state': 69}",0.7933884297520661,0.8057851239669421,0.7302904564315352,0.8049792531120332,0.7883817427385892,0.8049792531120332,0.8423236514522822,0.8755186721991701,0.7966804979253111,0.8506224066390041,0.8092949487328968,0.037848670467186034,28
