,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
4781,0.5510607957839966,0.09899294331297266,0.019933867454528808,0.008589783334990013,69,73,12,6,,entropy,False,"{'random_state': 69, 'n_estimators': 73, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9297520661157025,0.9090909090909091,0.9336099585062241,0.9087136929460581,0.9294605809128631,0.9543568464730291,0.946058091286307,0.9294605809128631,0.9336099585062241,0.9543568464730291,0.9328469531223209,0.015100750920933123,10
3256,0.4920888185501099,0.036735697234859935,0.019410920143127442,0.00585078782542558,69,96,8,6,,gini,False,"{'random_state': 69, 'n_estimators': 96, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9338842975206612,0.9214876033057852,0.941908713692946,0.9045643153526971,0.91701244813278,0.950207468879668,0.941908713692946,0.941908713692946,0.9294605809128631,0.946058091286307,0.9328400946469599,0.013836492685460163,12
2936,0.3813321113586426,0.04009361177864066,0.014243865013122558,0.004715587113735692,69,70,3,7,,entropy,False,"{'random_state': 69, 'n_estimators': 70, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9338842975206612,0.9090909090909091,0.9377593360995851,0.9045643153526971,0.9253112033195021,0.9543568464730291,0.9377593360995851,0.9377593360995851,0.9294605809128631,0.950207468879668,0.9320153629848085,0.015043704562907271,13
2602,0.36324052810668944,0.06584986476189097,0.013889074325561523,0.0028462770175044605,69,50,23,2,,gini,False,"{'random_state': 69, 'n_estimators': 50, 'min_samples_split': 23, 'min_samples_leaf': 2, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.9338842975206612,0.9132231404958677,0.941908713692946,0.9045643153526971,0.9087136929460581,0.9585062240663901,0.9336099585062241,0.941908713692946,0.9336099585062241,0.9377593360995851,0.9307688350879599,0.01604129440320002,14
3376,0.19543192386627198,0.02312789012587891,0.008080792427062989,0.002416535173585904,69,32,11,7,,entropy,False,"{'random_state': 69, 'n_estimators': 32, 'min_samples_split': 11, 'min_samples_leaf': 7, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9214876033057852,0.9090909090909091,0.9336099585062241,0.9087136929460581,0.9087136929460581,0.9626556016597511,0.946058091286307,0.9336099585062241,0.9336099585062241,0.946058091286307,0.9303607558039848,0.01742346573199968,15
2445,0.06059997081756592,0.012685018572004455,0.005299210548400879,0.0015453923897279064,69,6,4,2,10,gini,False,"{'random_state': 69, 'n_estimators': 6, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}",0.9256198347107438,0.8925619834710744,0.9128630705394191,0.9253112033195021,0.950207468879668,0.9585062240663901,0.9377593360995851,0.9294605809128631,0.9087136929460581,0.950207468879668,0.9291210863824972,0.019676429424517788,16
3412,0.4438577890396118,0.05489819400492991,0.01685459613800049,0.005009215758561922,69,74,7,5,12,entropy,False,"{'random_state': 69, 'n_estimators': 74, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_depth': 12, 'criterion': 'entropy', 'bootstrap': False}",0.9297520661157025,0.9049586776859504,0.9253112033195021,0.9128630705394191,0.921161825726141,0.9543568464730291,0.941908713692946,0.921161825726141,0.9253112033195021,0.946058091286307,0.9282843523884641,0.014437801715695083,17
2688,0.1908961057662964,0.040308664691682074,0.008968400955200195,0.004622514968669634,69,26,22,3,,entropy,False,"{'random_state': 69, 'n_estimators': 26, 'min_samples_split': 22, 'min_samples_leaf': 3, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.9297520661157025,0.9132231404958677,0.91701244813278,0.9087136929460581,0.9253112033195021,0.9585062240663901,0.9294605809128631,0.9377593360995851,0.9294605809128631,0.9336099585062241,0.9282809231507836,0.013349780047836322,18
2264,0.12078704833984374,0.04142113833584365,0.00985856056213379,0.004002709338628111,69,13,8,4,,entropy,True,"{'random_state': 69, 'n_estimators': 13, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True}",0.9173553719008265,0.8966942148760331,0.9253112033195021,0.9128630705394191,0.8921161825726142,0.966804979253112,0.946058091286307,0.9294605809128631,0.9294605809128631,0.946058091286307,0.9262182366859847,0.021789677438230484,19
2429,0.09723660945892335,0.023460997661869626,0.0064789772033691405,0.003503034262306989,69,9,12,5,12,entropy,False,"{'random_state': 69, 'n_estimators': 9, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_depth': 12, 'criterion': 'entropy', 'bootstrap': False}",0.9338842975206612,0.8801652892561983,0.9253112033195021,0.9045643153526971,0.9128630705394191,0.9543568464730291,0.946058091286307,0.9128630705394191,0.9377593360995851,0.9377593360995851,0.9245584856486403,0.021048339144767534,20
