,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
75,7.372457218170166,2.499999210956421,0.013078927993774414,0.00730486369866503,logistic,0.0008138520927557468,2308,True,"(100, 100)",invscaling,0.005169449859317705,5000,50,69,adam,0.0002494048631119496,0.2,"{'activation': 'logistic', 'alpha': 0.0008138520927557468, 'batch_size': 2308, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.005169449859317705, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0002494048631119496, 'validation_fraction': 0.2}",0.8426501035196687,0.8343685300207039,0.8402489626556017,0.8381742738589212,0.8734439834024896,0.845777170691477,0.014097895452672881,28
31,10.50722141265869,3.1015810908311856,0.007134437561035156,0.004309557337303644,logistic,0.0007448312295986511,2193,True,"(100, 100)",invscaling,0.0018021255345139027,5000,50,69,adam,0.0005348769346546652,0.2,"{'activation': 'logistic', 'alpha': 0.0007448312295986511, 'batch_size': 2193, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0018021255345139027, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005348769346546652, 'validation_fraction': 0.2}",0.8281573498964804,0.8343685300207039,0.8775933609958506,0.8319502074688797,0.8547717842323651,0.845368246522856,0.018569528923035743,29
57,6.657089567184448,0.7984370253710492,0.0047495365142822266,0.0008783530720939391,logistic,0.0007056945821752383,1223,True,"(100, 100)",invscaling,0.005445055496889551,5000,50,69,adam,0.0004751699332187024,0.2,"{'activation': 'logistic', 'alpha': 0.0007056945821752383, 'batch_size': 1223, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.005445055496889551, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0004751699332187024, 'validation_fraction': 0.2}",0.8281573498964804,0.8426501035196687,0.8630705394190872,0.8319502074688797,0.8609958506224067,0.8453648101853044,0.014430801507593181,30
96,13.225750541687011,4.954962791661897,0.0135284423828125,0.00534197915671197,tanh,0.00010140391803024922,2261,True,"(100, 100)",adaptive,0.005021155659779455,5000,50,69,adam,0.0003367427559302977,0.2,"{'activation': 'tanh', 'alpha': 0.00010140391803024922, 'batch_size': 2261, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.005021155659779455, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003367427559302977, 'validation_fraction': 0.2}",0.8467908902691511,0.8509316770186336,0.8381742738589212,0.8195020746887967,0.8609958506224067,0.843278953291582,0.013972716564861685,31
32,7.275027799606323,2.697317526678987,0.005281829833984375,0.0012294224085778811,logistic,0.00045127502227418977,1035,True,"(100, 100)",adaptive,0.0023910989215011227,5000,50,69,adam,0.00032598852565648463,0.2,"{'activation': 'logistic', 'alpha': 0.00045127502227418977, 'batch_size': 1035, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0023910989215011227, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00032598852565648463, 'validation_fraction': 0.2}",0.8385093167701864,0.8343685300207039,0.8340248962655602,0.8402489626556017,0.8672199170124482,0.8428743245449001,0.012404149401535374,32
18,8.580844402313232,1.8336631222879833,0.010032558441162109,0.0024182399985135604,tanh,0.0007719300242499753,1340,True,"(100, 100)",invscaling,0.00534569223076871,5000,50,69,adam,0.0004795216652173263,0.2,"{'activation': 'tanh', 'alpha': 0.0007719300242499753, 'batch_size': 1340, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.00534569223076871, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0004795216652173263, 'validation_fraction': 0.2}",0.8343685300207039,0.8260869565217391,0.8734439834024896,0.8236514522821576,0.8526970954356846,0.8420496035325549,0.01871509086573632,33
45,7.0281627655029295,1.9649463449842608,0.01444559097290039,0.017910974873721622,logistic,0.0003598148281086231,1739,True,"(100, 100)",invscaling,0.00379220596528628,5000,50,69,adam,0.0003042755112427802,0.2,"{'activation': 'logistic', 'alpha': 0.0003598148281086231, 'batch_size': 1739, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.00379220596528628, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003042755112427802, 'validation_fraction': 0.2}",0.8322981366459627,0.8302277432712215,0.8423236514522822,0.8381742738589212,0.8672199170124482,0.8420487444481672,0.013292745734470483,34
88,8.781100702285766,1.7107819374509121,0.013360118865966797,0.0051532597512123374,logistic,0.0001703953092275618,1021,True,"(100, 100)",adaptive,0.0012282344965533617,5000,50,69,adam,0.0004981429748584222,0.2,"{'activation': 'logistic', 'alpha': 0.0001703953092275618, 'batch_size': 1021, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0012282344965533617, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0004981429748584222, 'validation_fraction': 0.2}",0.8322981366459627,0.8343685300207039,0.8485477178423236,0.8381742738589212,0.8464730290456431,0.8399723374827109,0.006470319751876219,35
78,9.078053998947144,0.7427795174352995,0.015478944778442383,0.006986019616321646,tanh,0.0004364045322828427,1342,True,"(100, 100)",invscaling,0.0054925062164179975,5000,50,69,adam,0.00019578626528219604,0.2,"{'activation': 'tanh', 'alpha': 0.0004364045322828427, 'batch_size': 1342, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.0054925062164179975, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.00019578626528219604, 'validation_fraction': 0.2}",0.8488612836438924,0.8343685300207039,0.8423236514522822,0.8195020746887967,0.8547717842323651,0.839965464807608,0.01228006307875146,36
58,5.635064649581909,1.1639482111994872,0.01092977523803711,0.004864303059222021,logistic,0.00028128069826726976,2064,True,"(100, 100)",invscaling,0.004830915690322592,5000,50,69,adam,0.0004083722448683373,0.2,"{'activation': 'logistic', 'alpha': 0.00028128069826726976, 'batch_size': 2064, 'early_stopping': True, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'invscaling', 'learning_rate_init': 0.004830915690322592, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0004083722448683373, 'validation_fraction': 0.2}",0.8281573498964804,0.8260869565217391,0.8464730290456431,0.8236514522821576,0.8734439834024896,0.8395625542297018,0.018764538308346002,37
