,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,param_probability,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
108,0.3959959983825684,0.046975747073659334,0.016585254669189455,0.0005424910692734873,300,0.01,rbf,10000,True,69,"{'C': 300, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9420289855072463,0.9151138716356108,0.9585062240663901,0.9315352697095436,0.9294605809128631,0.9353289863663308,0.01441912388536673,11
156,0.38463535308837893,0.015216641406421434,0.017629432678222656,0.0005902844856152367,1000,0.01,rbf,10000,True,69,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9420289855072463,0.9151138716356108,0.9585062240663901,0.9315352697095436,0.9294605809128631,0.9353289863663308,0.01441912388536673,11
132,0.37340574264526366,0.014670032939980055,0.017031002044677734,0.0010807294430992544,600,0.01,rbf,10000,True,69,"{'C': 600, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9420289855072463,0.9151138716356108,0.9585062240663901,0.9315352697095436,0.9294605809128631,0.9353289863663308,0.01441912388536673,11
84,0.3412443161010742,0.006143634494393846,0.016258382797241212,0.0009375488802581867,100,0.01,rbf,10000,True,69,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9420289855072463,0.9151138716356108,0.9585062240663901,0.9315352697095436,0.9294605809128631,0.9353289863663308,0.01441912388536673,11
32,0.846902322769165,0.03614595334378323,0.04091830253601074,0.0004973842066403774,0.5,0.1,rbf,10000,True,69,"{'C': 0.5, 'gamma': 0.1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9254658385093167,0.9130434782608695,0.91701244813278,0.9024896265560166,0.9294605809128631,0.9174943944743692,0.00950704502547963,15
28,1.0458463191986085,0.07723470016345665,0.05208430290222168,0.008734624234497815,0.5,1,rbf,10000,True,69,"{'C': 0.5, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9213250517598344,0.9089026915113871,0.9107883817427386,0.8921161825726142,0.9087136929460581,0.9083692001065264,0.009362375758371554,16
136,0.8925642013549805,0.06011531723842517,0.018749237060546875,0.002448809043555667,600,0.001,rbf,10000,True,69,"{'C': 600, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9089026915113871,0.8902691511387164,0.9128630705394191,0.9107883817427386,0.9087136929460581,0.9063073975756639,0.008158519766574394,17
160,0.8673447608947754,0.08329612095193585,0.0175264835357666,0.0021518702108456605,1000,0.001,rbf,10000,True,69,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.8840579710144928,0.8819875776397516,0.921161825726141,0.921161825726141,0.91701244813278,0.9050763296478612,0.018082141253665796,18
112,0.6536869049072266,0.02578834294150599,0.01443324089050293,0.00046276869569625105,300,0.001,rbf,10000,True,69,"{'C': 300, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9109730848861284,0.8881987577639752,0.9087136929460581,0.9024896265560166,0.9066390041493776,0.9034028332603112,0.008099192558350175,19
60,0.35968637466430664,0.00498440133816564,0.018700885772705077,0.0004940212321983573,1,0.01,rbf,10000,True,69,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 10000, 'probability': True, 'random_state': 69}",0.9026915113871635,0.8944099378881988,0.9107883817427386,0.8962655601659751,0.9087136929460581,0.9025738168260269,0.006505905455054224,20
