,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
235,8.308614444732665,2.7632211730603995,0.00840134620666504,0.0014137120984023092,logistic,0.0023091543221723295,1336,False,"(500,)",adaptive,0.00551258282635838,5000,10,69,adam,0.00035444793907923097,0.2,"{'activation': 'logistic', 'alpha': 0.0023091543221723295, 'batch_size': 1336, 'early_stopping': False, 'hidden_layer_sizes': (500,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.00551258282635838, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.00035444793907923097, 'validation_fraction': 0.2}",0.8198757763975155,0.8343685300207039,0.8692946058091287,0.8423236514522822,0.8298755186721992,0.839147616470366,0.01672808087655881,29
669,7.326371574401856,1.8810961680652711,0.003543376922607422,0.0009058956924720031,logistic,0.004812561863669279,742,False,"(25,)",adaptive,0.013218452166938389,5000,50,69,sgd,0.0001433635782158533,0.2,"{'activation': 'logistic', 'alpha': 0.004812561863669279, 'batch_size': 742, 'early_stopping': False, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.013218452166938389, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0001433635782158533, 'validation_fraction': 0.2}",0.8385093167701864,0.8302277432712215,0.8464730290456431,0.8174273858921162,0.8526970954356846,0.8370669140829703,0.012388247804055869,30
748,218.9155701637268,45.78067787047499,0.027451562881469726,0.0041787126567772725,logistic,0.004882983957397981,1514,False,"(500, 500)",adaptive,0.04780535863099387,5000,50,69,sgd,0.0005960894628108907,0.2,"{'activation': 'logistic', 'alpha': 0.004882983957397981, 'batch_size': 1514, 'early_stopping': False, 'hidden_layer_sizes': (500, 500), 'learning_rate': 'adaptive', 'learning_rate_init': 0.04780535863099387, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0005960894628108907, 'validation_fraction': 0.2}",0.8095238095238095,0.8302277432712215,0.8506224066390041,0.8236514522821576,0.8630705394190872,0.835419190227056,0.019140200735672998,31
24,2.9251538276672364,0.4822604903877454,0.002851390838623047,0.0004523543943748157,relu,0.009834508141229365,1545,False,"(50, 50)",invscaling,0.030024147489638487,5000,50,69,adam,0.0005256047611259234,0.2,"{'activation': 'relu', 'alpha': 0.009834508141229365, 'batch_size': 1545, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'invscaling', 'learning_rate_init': 0.030024147489638487, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005256047611259234, 'validation_fraction': 0.2}",0.8198757763975155,0.8260869565217391,0.8443983402489627,0.8153526970954357,0.8692946058091287,0.8350016752145564,0.019792168997126575,32
797,4.700953817367553,0.27329581289245997,0.0036706447601318358,0.0006932944734702987,logistic,0.003932760692052996,1472,False,"(50,)",adaptive,0.016503496781455462,5000,50,69,sgd,0.0005704947002242028,0.2,"{'activation': 'logistic', 'alpha': 0.003932760692052996, 'batch_size': 1472, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.016503496781455462, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0005704947002242028, 'validation_fraction': 0.2}",0.8115942028985508,0.8281573498964804,0.8485477178423236,0.8174273858921162,0.8630705394190872,0.8337594391897116,0.01932485886816061,33
351,10.797828817367554,3.9943478859768953,0.0049036979675292965,0.0007918100847927311,logistic,0.0003700283972488149,851,False,"(100,)",constant,0.008544406300389985,5000,50,69,sgd,0.00039940319705397795,0.2,"{'activation': 'logistic', 'alpha': 0.0003700283972488149, 'batch_size': 851, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.008544406300389985, 'max_iter': 5000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'sgd', 'tol': 0.00039940319705397795, 'validation_fraction': 0.2}",0.8240165631469979,0.8095238095238095,0.8547717842323651,0.8195020746887967,0.8589211618257261,0.833347078683539,0.019795668948870516,34
968,2.4551279067993166,0.5728675386997826,0.0034374237060546876,0.00018382660600329604,relu,0.0025401828025273343,1636,False,"(200,)",constant,0.02588986100120143,5000,25,69,adam,0.0005796086906184132,0.2,"{'activation': 'relu', 'alpha': 0.0025401828025273343, 'batch_size': 1636, 'early_stopping': False, 'hidden_layer_sizes': (200,), 'learning_rate': 'constant', 'learning_rate_init': 0.02588986100120143, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0005796086906184132, 'validation_fraction': 0.2}",0.8219461697722568,0.8178053830227743,0.8423236514522822,0.8319502074688797,0.8526970954356846,0.8333445014303755,0.012872282245003946,35
348,5.297616481781006,1.066602769741653,0.00472412109375,0.0025147230868694235,logistic,0.008427765772014767,1050,False,"(50,)",adaptive,0.008199299259726532,5000,25,69,sgd,0.0002584085730714606,0.2,"{'activation': 'logistic', 'alpha': 0.008427765772014767, 'batch_size': 1050, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.008199299259726532, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0002584085730714606, 'validation_fraction': 0.2}",0.8115942028985508,0.8178053830227743,0.8506224066390041,0.8195020746887967,0.8589211618257261,0.8316890458149704,0.019210108610361862,36
696,2.8155405521392822,0.4593307645319644,0.004171943664550782,0.0015382605579617697,logistic,0.0027585974104901187,1481,False,"(100,)",constant,0.01814678631677281,5000,25,69,adam,0.00035031034104834115,0.2,"{'activation': 'logistic', 'alpha': 0.0027585974104901187, 'batch_size': 1481, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.01814678631677281, 'max_iter': 5000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.00035031034104834115, 'validation_fraction': 0.2}",0.8405797101449275,0.8012422360248447,0.8360995850622407,0.8423236514522822,0.8381742738589212,0.8316838913086432,0.015366573346548604,37
703,7.353285551071167,1.2817293286348117,0.010305118560791016,0.0007642966715416839,tanh,0.008667658708063646,1120,False,"(500,)",invscaling,0.01053007327169182,5000,10,69,adam,0.0003406960144960099,0.2,"{'activation': 'tanh', 'alpha': 0.008667658708063646, 'batch_size': 1120, 'early_stopping': False, 'hidden_layer_sizes': (500,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.01053007327169182, 'max_iter': 5000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.0003406960144960099, 'validation_fraction': 0.2}",0.8302277432712215,0.8115942028985508,0.8464730290456431,0.8174273858921162,0.8506224066390041,0.8312689535493071,0.015397980292328025,38
