,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
5182,0.46615400314331057,0.04010747938945785,0.01835896968841553,0.00667711739177463,False,entropy,,10,10,80,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 80, 'random_state': 69}",0.9214876033057852,0.8884297520661157,0.9253112033195021,0.9004149377593361,0.8962655601659751,0.9377593360995851,0.9087136929460581,0.9045643153526971,0.9087136929460581,0.9336099585062241,0.9125270052467338,0.015521568844312827,11
5191,0.4325001955032349,0.030084976225010933,0.01892690658569336,0.00966986188758557,False,entropy,,10,20,80,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 80, 'random_state': 69}",0.9214876033057852,0.8884297520661157,0.9253112033195021,0.9004149377593361,0.8962655601659751,0.9377593360995851,0.9087136929460581,0.9045643153526971,0.9087136929460581,0.9336099585062241,0.9125270052467338,0.015521568844312827,11
5192,0.5970382213592529,0.12555588910416182,0.022431612014770508,0.007437083340939859,False,entropy,,10,20,90,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 90, 'random_state': 69}",0.9173553719008265,0.8884297520661157,0.9253112033195021,0.9045643153526971,0.8921161825726142,0.9377593360995851,0.9045643153526971,0.9087136929460581,0.9045643153526971,0.9336099585062241,0.9116988443469017,0.015694220953564573,13
5183,0.5408645391464233,0.08597947912759998,0.021521830558776857,0.013969790431542258,False,entropy,,10,10,90,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 90, 'random_state': 69}",0.9173553719008265,0.8884297520661157,0.9253112033195021,0.9045643153526971,0.8921161825726142,0.9377593360995851,0.9045643153526971,0.9087136929460581,0.9045643153526971,0.9336099585062241,0.9116988443469017,0.015694220953564573,13
5178,0.2725980758666992,0.027429907977779503,0.011142969131469727,0.004777440429617833,False,entropy,,10,10,40,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 40, 'random_state': 69}",0.9090909090909091,0.8884297520661157,0.9128630705394191,0.9087136929460581,0.8921161825726142,0.9377593360995851,0.9045643153526971,0.91701244813278,0.9087136929460581,0.9336099585062241,0.9112873358252461,0.01479053398312453,15
5187,0.2395871877670288,0.01715344683310719,0.012915778160095214,0.005342992807442541,False,entropy,,10,20,40,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 40, 'random_state': 69}",0.9090909090909091,0.8884297520661157,0.9128630705394191,0.9087136929460581,0.8921161825726142,0.9377593360995851,0.9045643153526971,0.91701244813278,0.9087136929460581,0.9336099585062241,0.9112873358252461,0.01479053398312453,15
6979,0.2835956573486328,0.010066281159393538,0.01297910213470459,0.0032700113239513763,False,gini,,10,10,50,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 69}",0.9214876033057852,0.871900826446281,0.91701244813278,0.8962655601659751,0.8879668049792531,0.946058091286307,0.9253112033195021,0.9045643153526971,0.9045643153526971,0.921161825726141,0.9096292994067419,0.020059180935656604,17
6988,0.26463315486907957,0.019883733180785207,0.011355066299438476,0.0020749223052688726,False,gini,,10,20,50,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 50, 'random_state': 69}",0.9214876033057852,0.871900826446281,0.91701244813278,0.8962655601659751,0.8879668049792531,0.946058091286307,0.9253112033195021,0.9045643153526971,0.9045643153526971,0.921161825726141,0.9096292994067419,0.020059180935656604,17
6978,0.23458704948425294,0.008723592519951702,0.01065371036529541,0.0024903561886710094,False,gini,,10,10,40,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 40, 'random_state': 69}",0.9214876033057852,0.871900826446281,0.91701244813278,0.8921161825726142,0.8879668049792531,0.946058091286307,0.921161825726141,0.91701244813278,0.8962655601659751,0.921161825726141,0.9092143616474058,0.020540142981616764,19
6987,0.21132433414459229,0.010341109815889118,0.011231541633605957,0.004650711416785633,False,gini,,10,20,40,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 40, 'random_state': 69}",0.9214876033057852,0.871900826446281,0.91701244813278,0.8921161825726142,0.8879668049792531,0.946058091286307,0.921161825726141,0.91701244813278,0.8962655601659751,0.921161825726141,0.9092143616474058,0.020540142981616764,19
6986,0.18104400634765624,0.013029234982588199,0.00832226276397705,0.002067020181505296,False,gini,,10,20,30,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 30, 'random_state': 69}",0.9173553719008265,0.871900826446281,0.9128630705394191,0.8962655601659751,0.8879668049792531,0.946058091286307,0.9253112033195021,0.9128630705394191,0.9087136929460581,0.9045643153526971,0.9083862007475739,0.019328517933182,21
6977,0.1841721534729004,0.01138555671800505,0.008241987228393555,0.0008985423378258159,False,gini,,10,10,30,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 30, 'random_state': 69}",0.9173553719008265,0.871900826446281,0.9128630705394191,0.8962655601659751,0.8879668049792531,0.946058091286307,0.9253112033195021,0.9128630705394191,0.9087136929460581,0.9045643153526971,0.9083862007475739,0.019328517933182,21
4953,0.2591565608978271,0.04124156066339603,0.012275981903076171,0.008585507374834897,False,entropy,12,10,10,40,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 40, 'random_state': 69}",0.9132231404958677,0.8760330578512396,0.9128630705394191,0.8962655601659751,0.8921161825726142,0.941908713692946,0.9087136929460581,0.8962655601659751,0.9045643153526971,0.9377593360995851,0.9079712629882378,0.01910033987240312,23
4962,0.24462928771972656,0.05753498168148435,0.011350131034851075,0.005613162181002882,False,entropy,12,10,20,40,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 40, 'random_state': 69}",0.9132231404958677,0.8760330578512396,0.9128630705394191,0.8962655601659751,0.8921161825726142,0.941908713692946,0.9087136929460581,0.8962655601659751,0.9045643153526971,0.9377593360995851,0.9079712629882378,0.01910033987240312,23
4957,0.45244317054748534,0.04361570212778953,0.013721489906311035,0.001468170999513105,False,entropy,12,10,10,80,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 80, 'random_state': 69}",0.9090909090909091,0.8760330578512396,0.921161825726141,0.8962655601659751,0.8879668049792531,0.941908713692946,0.9128630705394191,0.8962655601659751,0.9045643153526971,0.9294605809128631,0.9075580398477419,0.018753372182999713,25
4966,0.4405578374862671,0.038951391342824514,0.018400001525878906,0.006707122196380572,False,entropy,12,10,20,80,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 80, 'random_state': 69}",0.9090909090909091,0.8760330578512396,0.921161825726141,0.8962655601659751,0.8879668049792531,0.941908713692946,0.9128630705394191,0.8962655601659751,0.9045643153526971,0.9294605809128631,0.9075580398477419,0.018753372182999713,25
4963,0.27215352058410647,0.014497048690025065,0.012858748435974121,0.004079101600083001,False,entropy,12,10,20,50,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 50, 'random_state': 69}",0.9132231404958677,0.8760330578512396,0.921161825726141,0.8962655601659751,0.8879668049792531,0.941908713692946,0.9087136929460581,0.8962655601659751,0.9045643153526971,0.9294605809128631,0.9075563252289017,0.018761198025772915,27
4954,0.3155068397521973,0.0617372194073019,0.011305475234985351,0.0040512278636282645,False,entropy,12,10,10,50,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 69}",0.9132231404958677,0.8760330578512396,0.921161825726141,0.8962655601659751,0.8879668049792531,0.941908713692946,0.9087136929460581,0.8962655601659751,0.9045643153526971,0.9294605809128631,0.9075563252289017,0.018761198025772915,27
4958,0.5281640291213989,0.09385598433184543,0.017248058319091798,0.003850083513125152,False,entropy,12,10,10,90,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 90, 'random_state': 69}",0.9132231404958677,0.8801652892561983,0.921161825726141,0.8921161825726142,0.8921161825726142,0.941908713692946,0.9128630705394191,0.8962655601659751,0.9004149377593361,0.9253112033195021,0.9075546106100614,0.01773767712381227,29
6757,0.3736656427383423,0.018908216944910957,0.016249322891235353,0.0035731421690990157,False,gini,12,10,10,80,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 80, 'random_state': 69}",0.9173553719008265,0.8760330578512396,0.921161825726141,0.9004149377593361,0.8962655601659751,0.9294605809128631,0.9128630705394191,0.8921161825726142,0.9087136929460581,0.921161825726141,0.9075546106100614,0.015447113707222671,29
6766,0.3779832124710083,0.018901184859902217,0.015046787261962891,0.004089113197883116,False,gini,12,10,20,80,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 80, 'random_state': 69}",0.9173553719008265,0.8760330578512396,0.921161825726141,0.9004149377593361,0.8962655601659751,0.9294605809128631,0.9128630705394191,0.8921161825726142,0.9087136929460581,0.921161825726141,0.9075546106100614,0.015447113707222671,29
4967,0.5091354370117187,0.042216287596469705,0.02208693027496338,0.00866003877518991,False,entropy,12,10,20,90,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 90, 'random_state': 69}",0.9132231404958677,0.8801652892561983,0.921161825726141,0.8921161825726142,0.8921161825726142,0.941908713692946,0.9128630705394191,0.8962655601659751,0.9004149377593361,0.9253112033195021,0.9075546106100614,0.01773767712381227,29
6763,0.24975383281707764,0.014846294532783527,0.010534310340881347,0.0014192623040528184,False,gini,12,10,20,50,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 50, 'random_state': 69}",0.9214876033057852,0.8760330578512396,0.921161825726141,0.8962655601659751,0.8879668049792531,0.9377593360995851,0.9128630705394191,0.8962655601659751,0.9045643153526971,0.921161825726141,0.9075528959912212,0.017737146485699146,33
6754,0.2864511489868164,0.045582258355976964,0.011763167381286622,0.003498452592551413,False,gini,12,10,10,50,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50, 'random_state': 69}",0.9214876033057852,0.8760330578512396,0.921161825726141,0.8962655601659751,0.8879668049792531,0.9377593360995851,0.9128630705394191,0.8962655601659751,0.9045643153526971,0.921161825726141,0.9075528959912212,0.017737146485699146,33
4965,0.39761929512023925,0.03977538665346923,0.015912461280822753,0.005067362354172433,False,entropy,12,10,20,70,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 20, 'n_estimators': 70, 'random_state': 69}",0.9173553719008265,0.8760330578512396,0.921161825726141,0.9004149377593361,0.8879668049792531,0.941908713692946,0.91701244813278,0.8962655601659751,0.9004149377593361,0.9128630705394191,0.9071396728507253,0.017843786768024332,35
4956,0.3968850612640381,0.03696689961477684,0.014057278633117676,0.0062878297657687114,False,entropy,12,10,10,70,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 70, 'random_state': 69}",0.9173553719008265,0.8760330578512396,0.921161825726141,0.9004149377593361,0.8879668049792531,0.941908713692946,0.91701244813278,0.8962655601659751,0.9004149377593361,0.9128630705394191,0.9071396728507253,0.017843786768024332,35
5197,0.32109055519104,0.07084206744373475,0.012404894828796387,0.005881522702393761,False,entropy,,10,30,50,69,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 50, 'random_state': 69}",0.9214876033057852,0.871900826446281,0.91701244813278,0.8921161825726142,0.8838174273858921,0.941908713692946,0.9087136929460581,0.9004149377593361,0.9087136929460581,0.921161825726141,0.9067247350913892,0.019413154996461384,37
6982,0.4007192850112915,0.0171081643547073,0.015998125076293945,0.0028133604343876257,False,gini,,10,10,80,69,"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 80, 'random_state': 69}",0.9132231404958677,0.8801652892561983,0.9087136929460581,0.8962655601659751,0.8796680497925311,0.9377593360995851,0.9128630705394191,0.9004149377593361,0.9087136929460581,0.9253112033195021,0.9063097973320531,0.017266667698157642,38
