,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
278,69.0,186.54,25.0,44,7.82,6.68,61.73,58.65,60.0
279,685.92,186.54,24.0,8,3.27,3.1,57.04,53.85,33.33
280,416.38,186.54,31.0,4,1.94,3.82,61.96,56.76,50.0
281,308.0,190.0,30.0,60,16.08,5.32,64.24,56.62,53.55
282,698.0,186.54,22.0,12,3.77,2.38,57.74,45.5,29.17
283,70.0,186.54,20.0,40,6.5,2.74,63.86,57.39,62.07
284,919.0,186.54,25.0,5,5.15,4.28,62.93,63.16,40.0
285,226.0,186.54,26.0,85,16.63,4.12,60.32,55.96,48.96
286,1462.0,173.92,22.0,7,0.03,8.82,51.99,40.65,71.43
287,441.95,190.0,31.0,23,6.74,5.39,59.22,51.88,42.86
288,-1.0,186.54,19.0,2,0.93,3.56,52.46,49.15,42.86
289,334.67,186.54,19.0,5,1.09,5.6,55.82,62.08,16.67
290,818.0,186.54,26.0,19,2.43,6.37,55.38,51.89,40.54
291,508.0,183.0,30.0,50,6.85,6.32,60.57,56.61,45.73
292,246.0,172.0,31.0,38,4.17,4.0,51.68,46.71,40.2
293,970.0,186.54,26.0,4,0.81,4.81,56.63,50.03,42.86
294,310.61,183.0,31.0,29,2.91,3.35,59.13,52.33,48.44
295,335.0,173.92,29.0,4,0.96,3.11,53.67,50.09,42.86
296,882.0,186.54,26.0,6,2.45,7.26,51.75,54.17,43.48
297,406.0,186.54,24.0,55,11.44,7.77,60.89,53.96,51.68
298,14.0,188.0,25.0,63,7.55,4.39,60.82,56.59,59.45
299,36.0,168.0,29.0,52,6.06,9.53,54.61,50.06,56.6
300,402.0,173.92,26.0,6,0.65,7.84,48.6,51.83,33.33
301,215.0,186.54,22.0,29,1.92,4.32,58.42,55.69,55.91
302,681.0,186.54,18.0,5,6.39,3.11,59.21,58.01,27.27
303,76.5,173.92,23.0,34,4.35,7.15,53.81,51.37,48.8
304,1424.0,186.54,24.0,9,1.68,3.61,56.85,54.54,39.13
305,335.0,162.0,32.0,48,3.17,2.85,55.57,46.9,56.04
306,42.0,185.0,18.0,32,4.04,3.2,59.7,54.14,70.21
307,123.56,183.0,36.0,57,8.08,3.29,59.14,54.62,55.83
308,685.0,165.0,26.0,28,1.8,3.69,55.04,54.97,37.25
309,660.24,186.54,27.0,9,1.1,4.73,55.06,54.36,35.29
310,293.0,186.54,20.0,12,0.86,8.07,57.72,53.29,61.76
311,402.0,186.54,31.0,48,3.86,3.81,59.96,57.6,45.61
312,1315.0,186.54,22.0,8,2.31,5.55,57.26,48.87,25.0
313,862.62,196.0,34.0,5,3.38,3.81,59.49,54.44,46.15
314,492.0,186.54,20.0,3,0.58,3.89,61.37,56.64,60.0
315,93.0,186.54,24.0,81,3.39,4.12,59.67,54.24,59.92
316,330.0,173.92,26.0,26,7.17,8.94,50.55,50.31,27.91
317,295.0,173.92,25.0,10,0.4,2.73,47.88,44.29,45.45
318,190.0,173.92,22.0,38,8.05,5.69,56.76,52.41,41.18
319,74.0,177.0,27.0,66,9.56,3.91,58.1,53.26,59.49
320,14.87,177.0,29.0,37,4.83,3.19,58.07,54.74,68.97
321,760.0,173.92,18.0,5,2.96,7.34,51.58,49.86,0.0
322,1142.0,173.92,26.0,13,1.17,6.6,53.13,46.89,43.48
323,197.0,173.92,21.0,28,2.97,5.27,53.34,49.98,60.44
324,266.0,173.92,27.0,10,2.34,6.57,50.09,52.43,23.08
325,1409.0,173.92,26.0,3,1.96,6.55,41.06,44.32,0.0
326,144.0,173.92,19.0,25,5.2,8.58,53.06,48.26,51.43
327,704.0,186.54,20.0,3,1.7,3.61,52.66,47.71,0.0
328,181.0,183.0,30.0,59,7.28,4.02,57.33,52.09,60.56
329,160.0,186.54,25.0,87,9.13,3.57,59.95,51.43,48.47
330,1182.0,186.54,22.0,2,0.91,7.58,58.6,50.93,28.57
331,316.29,186.54,24.0,2,1.43,7.08,47.5,39.36,14.29
332,1349.7,186.54,20.0,4,1.4,3.67,53.07,52.72,20.0
333,1404.0,186.54,28.0,4,1.22,9.0,52.32,53.8,28.57
334,428.0,173.92,26.0,8,0.02,0.57,40.23,44.32,12.5
335,698.0,173.92,28.0,9,1.41,7.25,51.32,51.19,25.0
336,621.0,173.92,24.0,6,0.35,9.78,40.01,32.76,14.29
337,-1.0,186.54,21.0,5,0.36,5.71,50.37,39.66,0.0
338,670.57,173.92,18.0,4,2.38,4.73,51.87,25.67,28.57
339,932.0,173.92,25.0,6,0.04,2.4,60.44,69.63,66.67
340,1514.0,173.92,17.0,9,0.06,9.84,53.67,47.02,77.78
341,1586.0,186.54,21.0,2,1.06,10.92,45.23,43.12,16.67
342,692.96,186.54,27.0,14,3.81,10.19,54.43,56.56,22.22
343,1096.0,186.54,24.0,5,5.42,2.37,60.88,53.34,15.38
344,966.0,186.54,29.0,26,3.07,3.45,57.58,55.78,43.75
345,651.0,173.92,29.0,8,0.36,8.75,48.76,52.45,0.0
346,872.0,186.54,20.0,10,3.35,6.24,57.76,58.73,40.0
347,300.0,173.92,23.0,11,0.64,2.94,52.71,49.26,48.0
348,482.4,173.92,23.0,6,0.8,5.34,48.13,33.74,20.0
349,771.0,173.92,21.0,7,0.02,3.61,50.41,53.03,28.57
350,165.0,173.92,26.0,27,5.47,7.34,54.52,50.16,38.67
351,273.0,186.54,27.0,43,9.34,3.36,58.97,55.46,49.57
352,446.0,186.54,29.0,38,3.31,5.25,57.44,54.26,39.51
353,142.0,170.0,29.0,61,7.51,5.4,52.96,50.73,48.29
354,666.0,186.54,27.0,2,2.26,3.06,56.48,69.75,40.0
355,615.43,186.54,28.0,10,1.74,7.07,59.13,59.87,47.62
356,179.0,186.54,25.0,51,15.19,5.95,65.56,59.73,52.17
357,398.0,186.54,27.0,23,3.31,4.19,57.66,52.46,39.53
358,146.0,183.0,27.0,60,8.07,2.72,61.3,57.31,54.66
359,528.42,186.54,28.0,14,1.65,3.87,56.53,53.23,42.31
360,603.14,186.54,30.0,8,3.31,10.88,59.08,66.54,35.71
361,1323.0,186.54,27.0,14,3.27,6.28,53.95,45.01,23.33
362,1162.0,186.54,20.0,6,0.94,5.39,46.88,41.7,0.0
363,1903.2,186.54,22.0,5,0.53,11.17,38.32,36.68,0.0
364,491.0,173.92,24.0,10,1.46,8.06,50.49,46.11,45.83
365,89.0,170.0,21.0,29,5.35,4.8,50.87,51.89,47.5
366,78.0,176.0,20.0,15,3.66,7.44,52.4,54.98,52.5
367,49.0,182.0,18.0,23,7.22,5.79,55.98,57.3,64.0
368,1998.0,186.54,28.0,5,1.06,4.48,52.52,48.5,16.67
369,439.45,186.54,24.0,10,4.38,7.63,63.69,48.68,54.55
370,770.0,186.54,22.0,28,2.0,6.6,53.62,52.28,46.67
371,145.0,185.0,29.0,45,11.4,7.49,57.8,52.2,53.16
372,713.0,186.54,25.0,15,7.0,3.03,59.67,45.45,34.62
