,name,ioc,sex,hand,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
334,Chanel Simmonds,RSA,f,L,428.0,173.92,26.0,8,0.02,0.57,40.23,44.32,12.5
335,Chang Liu,CHN,f,U,698.0,173.92,28.0,9,1.41,7.25,51.32,51.19,25.0
336,Chantal Skamlova,SVK,f,R,621.0,173.92,24.0,6,0.35,9.78,40.01,32.76,14.29
337,Charles Force,USA,m,U,-1.0,186.54,21.0,5,0.36,5.71,50.37,39.66,0.0
338,Charlotte Robillard Millette,CAN,f,L,670.57,173.92,18.0,4,2.38,4.73,51.87,25.67,28.57
339,Charlotte Roemer,ECU,f,R,932.0,173.92,25.0,6,0.04,2.4,60.44,69.63,66.67
340,Charmaine Shi Yi Seah,SIN,f,U,1514.0,173.92,17.0,9,0.06,9.84,53.67,47.02,77.78
341,Chayanon Kaewsuto,THA,m,R,1586.0,186.54,21.0,2,1.06,10.92,45.23,43.12,16.67
342,Cheng Peng Hsieh,TPE,m,R,692.96,186.54,27.0,14,3.81,10.19,54.43,56.56,22.22
343,Cheng Yu Yu,TPE,m,R,1096.0,186.54,24.0,5,5.42,2.37,60.88,53.34,15.38
344,Cheong Eui Kim,KOR,m,R,966.0,186.54,29.0,26,3.07,3.45,57.58,55.78,43.75
345,Chieh Yu Hsu,USA,f,L,651.0,173.92,29.0,8,0.36,8.75,48.76,52.45,0.0
346,Chien Hsun Lo,TPE,m,U,872.0,186.54,20.0,10,3.35,6.24,57.76,58.73,40.0
347,Chihiro Muramatsu,JPN,f,U,300.0,173.92,23.0,11,0.64,2.94,52.71,49.26,48.0
348,Ching Wen Hsu,TPE,f,R,482.4,173.92,23.0,6,0.8,5.34,48.13,33.74,20.0
349,Chiraz Bechri,TUN,f,U,771.0,173.92,21.0,7,0.02,3.61,50.41,53.03,28.57
350,Chloe Paquet,FRA,f,R,165.0,173.92,26.0,27,5.47,7.34,54.52,50.16,38.67
351,Christian Harrison,USA,m,R,273.0,186.54,27.0,43,9.34,3.36,58.97,55.46,49.57
352,Christian Lindell,SWE,m,R,446.0,186.54,29.0,38,3.31,5.25,57.44,54.26,39.51
353,Christina Mchale,USA,f,R,142.0,170.0,29.0,61,7.51,5.4,52.96,50.73,48.29
354,Christoph Negritu,GER,m,R,666.0,186.54,27.0,2,2.26,3.06,56.48,69.75,40.0
355,Christopher Diaz Figueroa,GUA,m,R,615.43,186.54,28.0,10,1.74,7.07,59.13,59.87,47.62
356,Christopher Eubanks,USA,m,R,179.0,186.54,25.0,51,15.19,5.95,65.56,59.73,52.17
357,Christopher Heyman,BEL,m,U,398.0,186.54,27.0,23,3.31,4.19,57.66,52.46,39.53
358,Christopher O'Connell,AUS,m,R,146.0,183.0,27.0,60,8.07,2.72,61.3,57.31,54.66
359,Christopher Rungkat,INA,m,R,528.42,186.54,28.0,14,1.65,3.87,56.53,53.23,42.31
360,Chu Huan Yi,TPE,m,L,603.14,186.54,30.0,8,3.31,10.88,59.08,66.54,35.71
361,Chuhan Wang,CHN,m,R,1323.0,186.54,27.0,14,3.27,6.28,53.95,45.01,23.33
362,Chukang Wang,CHN,m,U,1162.0,186.54,20.0,6,0.94,5.39,46.88,41.7,0.0
363,Chung Hyo Woo,KOR,m,U,1903.2,186.54,22.0,5,0.53,11.17,38.32,36.68,0.0
364,Cindy Burger,NED,f,R,491.0,173.92,24.0,10,1.46,8.06,50.49,46.11,45.83
365,Claire Liu,USA,f,R,89.0,170.0,21.0,29,5.35,4.8,50.87,51.89,47.5
366,Clara Burel,FRA,f,R,78.0,176.0,20.0,15,3.66,7.44,52.4,54.98,52.5
367,Clara Tauson,DEN,f,R,49.0,182.0,18.0,23,7.22,5.79,55.98,57.3,64.0
368,Claudio Fortuna,ITA,m,L,1998.0,186.54,28.0,5,1.06,4.48,52.52,48.5,16.67
369,Clay Thompson,USA,m,R,439.45,186.54,24.0,10,4.38,7.63,63.69,48.68,54.55
370,Clement Geens,BEL,m,R,770.0,186.54,22.0,28,2.0,6.6,53.62,52.28,46.67
371,Coco Vandeweghe,USA,f,R,145.0,185.0,29.0,45,11.4,7.49,57.8,52.2,53.16
372,Colin Sinclair,AUS,m,U,713.0,186.54,25.0,15,7.0,3.03,59.67,45.45,34.62
373,Collin Altamirano,USA,m,R,519.0,186.54,25.0,34,6.1,3.74,59.16,54.94,43.42
374,Congsup Congcar,THA,m,U,1283.0,186.54,23.0,5,1.27,4.04,47.27,49.92,0.0
375,Conner Huertas Del Pino,PER,m,U,648.0,186.54,24.0,1,1.56,2.32,55.9,49.82,40.0
376,Connor Farren,USA,m,R,846.0,186.54,26.0,12,3.33,7.59,56.26,44.93,26.32
377,Connor Smith,USA,m,U,280.83,186.54,25.0,10,2.94,5.39,54.7,49.56,16.67
378,Conny Perrin,SUI,f,R,223.0,173.92,30.0,31,4.8,4.57,54.35,45.42,46.25
379,Constant Lestienne,FRA,m,R,209.0,186.54,29.0,81,8.86,4.99,58.68,53.21,52.61
380,Corentin Moutet,FRA,m,L,84.0,178.0,22.0,72,2.84,5.25,56.9,51.51,55.98
381,Cori Gauff,USA,f,R,24.0,175.0,17.0,24,9.61,8.44,57.32,50.59,67.74
382,Cornelia Lister,SWE,f,U,1106.0,173.92,25.0,21,1.77,4.8,51.23,42.35,32.14
383,Corrado Summaria,ITA,m,R,1178.5,186.54,20.0,5,1.04,3.37,55.46,54.55,40.0
384,Courtney John Lock,ZIM,m,R,1693.0,186.54,23.0,5,1.47,2.74,53.93,54.03,0.0
385,Cristian Carli,ITA,m,U,545.4,186.54,22.0,4,0.7,7.97,55.72,48.89,20.0
386,Cristian Rodriguez,COL,m,R,425.0,186.54,31.0,30,6.94,3.9,62.05,57.44,50.7
387,Cristiana Ferrando,ITA,f,R,290.0,173.92,23.0,6,3.27,6.62,48.8,45.07,27.27
388,Cristina Andreea Mitu,ROU,f,R,733.0,173.92,29.0,13,1.53,8.22,53.95,46.44,12.5
389,Cristina Bucsa,MDA,f,U,157.0,173.92,23.0,17,4.55,6.09,50.38,50.35,45.71
390,Cristina Dinu,ROU,f,R,253.0,173.92,26.0,3,0.48,4.76,50.27,49.74,30.0
391,Cristobal Grandon Diaz,CHI,m,U,1508.67,186.54,25.0,5,0.58,9.49,48.59,48.87,0.0
392,Dalibor Svrcina,CZE,m,R,316.0,186.54,18.0,5,1.31,8.94,52.54,48.19,63.16
393,Dalila Jakupovic,SLO,f,R,265.0,173.92,30.0,51,7.18,5.15,51.12,46.02,46.1
394,Dalma Galfi,HUN,f,U,125.0,173.92,22.0,27,5.52,3.53,55.45,50.28,38.3
395,Dalwinder Singh,IND,m,U,1114.0,186.54,23.0,4,3.54,5.51,59.23,53.91,37.5
396,Damian Farinola,AUS,m,U,-1.0,186.54,23.0,3,0.3,5.06,57.89,59.32,50.0
397,Damir Dzumhur,BIH,m,R,140.0,172.0,29.0,88,4.02,3.86,57.72,54.66,53.64
398,Damon Gooch,RSA,m,R,1239.12,186.54,31.0,8,2.06,8.1,58.87,51.9,47.06
399,Dan Added,FRA,m,U,474.0,186.54,21.0,11,3.73,3.3,54.76,49.09,20.0
400,Dane Propoggia,AUS,m,R,720.91,186.54,27.0,3,1.91,8.23,56.64,51.64,54.55
401,Dane Sweeny,AUS,m,R,535.0,186.54,20.0,8,2.99,7.83,56.5,53.59,46.67
402,Daniel Altmaier,GER,m,R,111.0,186.54,22.0,50,8.26,3.32,61.22,57.23,58.18
403,Daniel Appelgren,SWE,m,R,805.25,186.54,21.0,5,2.16,2.04,60.67,42.01,37.5
404,Daniel Batista,POR,m,U,1392.0,186.54,20.0,2,0.62,4.51,54.46,45.4,40.0
405,Daniel Brands,GER,m,R,929.0,196.0,31.0,60,11.21,4.67,60.9,56.62,49.65
406,Daniel Cox,GBR,m,R,898.0,170.0,26.0,9,2.39,5.8,62.18,53.91,57.14
407,Daniel Cukierman,ISR,m,U,767.0,186.54,24.0,6,0.63,4.26,50.79,48.4,37.5
408,Daniel Dutra Da Silva,BRA,m,L,507.0,175.0,31.0,19,2.52,5.03,56.34,56.72,44.44
409,Daniel Elahi Galan,COL,m,R,106.0,191.0,25.0,100,8.42,2.52,60.93,58.56,54.49
410,Daniel Evans,GBR,m,R,24.0,175.0,31.0,76,8.84,3.67,61.23,60.13,61.65
411,Daniel Gimeno Traver,ESP,m,R,615.0,185.0,35.0,76,5.13,7.27,55.5,50.95,49.21
412,Daniel Glancy,IRL,m,U,1425.4,186.54,27.0,4,1.47,4.5,55.52,54.29,20.0
413,Daniel Hobart,AUS,m,U,1096.83,186.54,18.0,3,3.91,8.36,61.02,63.92,50.0
414,Daniel Masur,GER,m,R,246.0,186.54,27.0,91,6.99,4.91,61.02,56.54,51.76
415,Daniel Michalski,POL,m,U,459.0,186.54,21.0,8,0.67,3.54,55.78,49.42,52.38
416,Daniel Mora,COL,m,U,1916.0,186.54,21.0,6,0.75,9.08,47.14,35.57,18.18
417,Daniel Munoz de la Nava,ESP,m,L,1530.0,186.54,37.0,47,5.43,5.25,57.53,55.9,40.91
418,Daniel Nguyen,USA,m,U,743.0,186.54,29.0,42,4.78,6.77,56.65,52.26,48.08
419,Daniel Nolan,AUS,m,U,854.41,186.54,20.0,4,1.15,4.47,58.61,47.0,47.06
420,Daniel Siniakov,CZE,m,U,1179.0,186.54,18.0,3,0.49,7.71,47.28,35.02,40.0
421,Daniel Smethurst,GBR,m,U,487.0,186.54,25.0,4,2.63,5.39,61.33,54.14,50.0
422,Daniel Yoo,KOR,m,L,1263.25,186.54,32.0,4,1.33,6.14,50.06,56.8,33.33
423,Daniela Hantuchova,SVK,f,R,196.95,181.0,34.0,21,3.64,6.74,51.62,45.04,46.34
424,Daniele Capecchi,ITA,m,U,668.0,186.54,25.0,6,0.7,9.15,53.33,42.44,46.15
425,Daniele Spinnato,ITA,m,U,1670.64,186.54,28.0,5,0.63,4.02,56.77,46.9,45.45
426,Danielle Lao,USA,f,R,277.0,173.92,30.0,31,2.87,5.14,54.16,51.83,48.28
427,Danielle Rose Collins,USA,f,R,31.0,178.0,27.0,41,6.81,5.02,54.23,48.66,59.63
428,Daniiar Duldaev,KGZ,m,R,1118.07,186.54,25.0,6,1.19,4.18,57.57,55.8,35.71
429,Danka Kovinic,MNE,f,R,76.0,169.0,26.0,59,7.03,6.52,52.41,48.37,43.02
430,Danny Thomas,USA,m,U,905.81,186.54,18.0,8,1.92,4.01,59.19,57.16,37.5
431,Dante Gennaro,ARG,m,R,1486.0,186.54,25.0,7,1.17,5.65,57.08,52.06,22.22
432,Danylo Kalenichenko,UKR,m,U,512.0,186.54,27.0,17,3.0,4.32,59.95,48.56,37.84
433,Daria Gavrilova,AUS,f,R,411.0,166.0,26.0,41,4.83,7.51,53.5,50.62,52.76
434,Daria Snigur,UKR,f,U,184.0,173.92,19.0,4,0.0,3.75,44.78,34.72,0.0
435,Darian King,BAR,m,R,382.0,186.54,29.0,64,3.55,2.96,57.76,56.67,53.57
436,Darija Jurak,CRO,f,R,509.42,173.92,36.0,10,1.15,5.79,44.7,43.13,0.0
437,Darren K Polkinghorne,AUS,m,U,1016.12,186.54,23.0,4,1.39,6.22,57.7,57.47,37.5
438,Darya Kasatkina,RUS,f,R,28.0,170.0,24.0,48,4.83,6.75,52.23,47.24,59.25
439,Dasha Lopatetskaya,UKR,f,U,484.0,173.92,18.0,4,0.81,8.53,49.0,47.47,33.33
440,David Barclay,AUS,m,R,1998.0,186.54,29.0,4,4.51,6.02,60.44,38.09,0.0
441,David Ferrer,ESP,m,R,40.19,175.0,37.0,36,3.62,4.74,60.84,57.47,54.73
442,David Fleming,CHI,m,U,1541.83,186.54,25.0,3,0.53,6.46,43.36,38.44,16.67
443,David Goffin,BEL,m,R,37.0,180.0,30.0,51,8.79,4.23,60.94,55.79,62.78
444,David Guez,FRA,m,R,273.53,185.0,35.0,31,1.16,3.99,56.57,53.57,42.42
445,David O'Hare,IRL,m,U,-1.0,186.54,27.0,10,2.62,9.86,59.44,55.1,26.67
446,David Pel,NED,m,L,1205.22,186.54,26.0,6,2.92,10.06,58.24,46.08,22.22
447,David Perez Sanz,ESP,m,U,868.0,186.54,24.0,27,4.44,5.34,55.33,51.5,21.62
448,David Pichler,AUT,m,R,498.0,186.54,25.0,16,2.02,3.91,59.8,43.46,46.88
449,David Poljak,CZE,m,U,436.0,186.54,25.0,20,4.5,5.81,55.54,44.56,44.44
450,David Souto,VEN,m,L,1206.33,186.54,26.0,3,0.75,5.54,56.49,48.58,50.0
451,David Vega Hernandez,ESP,m,R,1425.0,186.54,27.0,23,2.74,5.66,58.28,47.33,44.0
452,David Volfson,CAN,m,R,1129.0,186.54,22.0,6,1.93,6.17,55.41,39.82,0.0
453,Davide Galoppini,ITA,m,R,659.0,186.54,23.0,7,0.92,6.62,52.76,46.24,38.46
454,Davide Pontoglio,ITA,m,R,1998.0,186.54,25.0,4,0.67,3.98,58.9,62.59,42.86
455,Dayana Yastremska,UKR,f,R,79.0,175.0,21.0,51,6.09,7.33,56.26,48.82,58.45
456,Dayne Kelly,AUS,m,U,463.0,186.54,31.0,36,3.46,5.29,59.25,58.43,46.9
457,Dea Herdzelas,BIH,f,R,241.0,173.92,22.0,12,0.08,7.41,48.88,50.83,33.33
458,Dean Obrien,RSA,m,U,802.27,186.54,26.0,9,1.33,5.81,56.67,58.17,18.18
459,Deborah Chiesa,ITA,f,R,603.0,173.92,23.0,14,5.28,2.4,51.43,45.65,33.33
460,Deiton Baughman,USA,m,U,565.77,186.54,21.0,5,0.89,6.67,54.95,55.81,53.85
461,Dejana Radanovic,SRB,f,U,374.0,173.92,25.0,18,2.69,4.02,51.27,40.99,41.38
462,Dekel Bar,ISR,m,R,647.0,186.54,24.0,5,1.65,8.77,56.79,45.02,37.5
463,Denis Istomin,UZB,m,R,252.0,188.0,34.0,100,13.56,2.44,62.07,56.55,47.04
464,Denis Kudla,USA,m,R,90.0,180.0,29.0,87,11.37,4.54,60.24,52.54,54.06
465,Denis Matsukevitch,RUS,m,R,878.97,190.0,32.0,14,2.61,6.19,55.76,47.72,38.71
466,Denis Shapovalov,CAN,m,L,13.0,185.0,22.0,75,13.05,6.47,64.78,61.92,57.19
467,Denis Yevseyev,KAZ,m,U,371.0,186.54,28.0,42,4.65,4.02,55.92,53.54,42.11
468,Denisa Allertova,CZE,f,R,487.0,173.92,27.0,30,3.57,6.59,52.0,43.43,43.33
469,Deniz Khazaniuk,ISR,f,U,467.0,173.92,25.0,18,1.32,3.24,51.71,38.99,37.84
470,Dennis Nevolo,USA,m,R,493.6,186.54,28.0,16,1.42,4.67,59.53,46.61,53.49
471,Dennis Novak,AUT,m,R,116.0,186.54,27.0,78,9.86,4.03,58.94,51.37,52.0
472,Dennis Novikov,USA,m,R,815.0,186.54,27.0,54,16.18,5.13,60.59,57.13,42.22
473,Denys Molchanov,UKR,m,R,506.6,186.54,30.0,31,3.01,4.72,59.43,51.56,50.68
474,Despina Papamichail,GRE,f,R,198.0,173.92,28.0,8,0.89,3.66,55.66,56.32,33.33
475,Destanee Aiava,AUS,f,R,276.0,173.92,21.0,21,2.99,6.28,54.54,55.83,38.78
476,Dhruv Sunish,IND,m,R,1230.0,186.54,19.0,1,1.93,4.98,53.66,58.04,33.33
477,Di Wu,CHN,m,R,697.0,186.54,28.0,52,4.52,3.48,57.66,51.6,45.11
478,Diana Marcinkevica,LAT,f,R,354.0,173.92,28.0,16,1.92,7.0,49.48,41.58,20.83
479,Diane Parry,FRA,f,R,194.0,173.92,18.0,6,3.9,4.1,54.52,55.7,23.08
480,Diego Hidalgo,ECU,m,U,563.0,186.54,28.0,21,4.88,3.44,58.36,56.03,31.43
481,Diego Schwartzman,ARG,m,R,16.0,170.0,28.0,60,7.13,3.92,59.56,55.02,59.51
482,Dimitar Kuzmanov,BUL,m,R,188.0,186.54,27.0,57,3.19,4.31,59.1,54.6,54.04
483,Dimitriy Voronin,RUS,m,U,952.0,186.54,20.0,4,0.86,4.73,51.69,48.88,33.33
484,Dino Marcan,CRO,m,R,878.56,186.54,26.0,13,1.45,5.7,57.11,51.38,48.15
485,Divij Sharan,IND,m,L,398.22,186.54,31.0,7,1.83,4.47,52.82,46.53,22.22
486,Dmitry Popko,KAZ,m,R,162.0,186.54,24.0,85,3.85,4.16,59.36,53.51,53.22
487,Dmitry Surchenko,RUS,m,U,1087.29,186.54,28.0,13,1.55,12.0,46.93,39.7,23.53
488,Dmitry Tursunov,RUS,m,R,534.46,185.0,34.0,16,5.56,3.65,58.15,61.71,35.71
489,Dominic Stephan Stricker,SUI,m,U,258.0,186.54,18.0,8,3.52,3.64,64.92,54.47,61.11
490,Dominik Kellovsky,CZE,m,U,1433.0,186.54,22.0,10,2.38,6.13,53.86,54.64,26.92
491,Dominik Koepfer,GER,m,L,62.0,180.0,27.0,74,6.15,4.88,60.09,56.13,54.8
492,Dominik Sproch,SVK,m,U,379.25,186.54,24.0,6,1.01,12.04,45.94,33.81,0.0
493,Dominik Suc,CZE,m,R,1324.4,186.54,26.0,1,0.17,4.07,55.52,30.33,60.0
494,Dominika Cibulkova,SVK,f,R,24.57,161.0,30.0,39,2.9,5.19,55.44,53.39,61.41
495,Donald Young,USA,m,L,445.0,183.0,32.0,57,8.95,6.6,57.17,52.88,47.42
496,Donna Vekic,CRO,f,R,97.0,179.0,25.0,62,10.21,7.74,55.66,52.31,53.52
497,Dorian Descloix,FRA,m,R,568.57,193.0,30.0,3,1.86,1.87,60.46,58.26,42.86
498,Dostanbek Tashbulatov,KAZ,m,U,894.0,186.54,21.0,6,1.15,5.76,47.78,43.87,6.67
499,Dragos Constantin Ignat,ROU,m,R,1234.0,186.54,24.0,5,1.47,5.43,56.65,52.73,45.45
500,Dragos Dima,ROU,m,R,843.0,186.54,28.0,30,1.7,2.8,53.54,49.52,42.86
501,Dragos Nicolae Madaras,ROU,m,L,410.0,186.54,23.0,4,1.93,4.38,55.24,52.96,28.57
502,Duck Hee Lee,KOR,m,R,365.0,186.54,22.0,65,7.38,5.15,57.78,52.76,48.18
503,Dudi Sela,ISR,m,R,380.0,175.0,36.0,63,5.26,4.16,59.06,53.91,56.52
504,Duje Ajdukovic,CRO,m,R,253.0,186.54,20.0,22,1.52,3.58,58.45,58.17,59.26
505,Dustin Brown,GER,m,R,337.0,196.0,36.0,67,10.19,6.63,60.96,53.82,51.13
506,Edan Leshem,ISR,m,U,467.0,186.54,24.0,49,4.96,5.53,59.58,54.79,45.69
507,Eden Silva,GBR,f,R,457.0,173.92,25.0,11,1.67,4.89,53.06,38.99,18.18
508,Edoardo Eremin,ITA,m,R,831.0,186.54,27.0,32,3.62,5.38,61.37,58.37,51.28
509,Edouard Roger Vasselin,FRA,m,R,180.14,188.0,32.0,12,3.43,2.64,60.53,51.18,40.91
510,Eduard Esteve Lobato,ESP,m,R,332.0,186.54,26.0,12,1.49,2.65,55.35,42.46,40.91
511,Eduardo Dischinger,BRA,m,R,897.0,186.54,26.0,10,1.74,6.3,52.98,46.83,37.5
512,Eduardo Russi,BRA,m,R,880.29,186.54,22.0,7,0.42,6.67,44.84,42.52,0.0
513,Eduardo Struvay,COL,m,R,727.0,186.54,29.0,26,4.29,5.06,61.62,57.98,41.3
514,Edward Bourchier,AUS,m,R,1321.08,186.54,29.0,5,1.03,3.32,59.95,58.32,50.0
515,Edward Corrie,GBR,m,U,370.67,186.54,30.0,29,2.84,3.17,62.57,53.8,49.46
516,Eero Vasa,FIN,m,R,1280.0,186.54,24.0,3,1.61,5.37,55.21,43.36,14.29
517,Ekaterina Alexandrova,RUS,f,R,33.0,175.0,26.0,54,10.45,8.02,56.0,52.77,55.7
518,Ekaterina Makarova,RUS,f,L,37.7,178.0,30.0,32,6.52,4.97,55.33,52.01,50.71
519,Ekaterina Yashina,RUS,f,R,413.0,173.92,27.0,5,0.23,6.18,40.64,37.92,0.0
520,Ekaterine Gorgodze,GEO,f,L,161.0,173.92,29.0,33,5.32,3.34,50.0,49.02,41.27
521,Elena Gabriela Ruse,ROU,f,U,85.0,173.92,23.0,23,3.94,8.0,52.3,53.54,61.18
522,Elena Malygina,EST,f,U,531.0,173.92,19.0,6,0.02,4.94,46.11,36.05,16.67
523,Elena Rybakina,KAZ,f,R,19.0,184.0,22.0,39,10.03,4.83,59.57,56.75,66.01
524,Elena Vesnina,RUS,f,R,308.0,176.0,34.0,29,8.6,5.25,55.8,55.67,55.88
525,Eleonora Molinaro,LUX,f,U,366.0,173.92,19.0,16,1.38,6.76,52.66,48.29,66.67
526,Elias Ymer,SWE,m,R,168.0,186.54,25.0,100,9.82,4.58,59.01,53.34,55.48
527,Elina Svitolina,UKR,f,R,6.0,174.0,26.0,52,6.97,4.05,57.56,54.41,70.19
528,Elisabetta Cocciaretto,ITA,f,R,141.0,173.92,20.0,19,1.52,4.61,54.81,57.31,61.82
529,Elise Mertens,BEL,f,R,20.0,179.0,25.0,63,7.14,6.27,57.03,54.44,64.05
530,Elitsa Kostova,BUL,f,R,309.0,173.92,31.0,40,4.17,1.87,52.0,49.09,36.9
531,Elizaveta Kulichkova,RUS,f,R,146.78,173.92,21.0,16,3.6,8.0,53.49,48.86,51.35
532,Ellen Perez,AUS,f,L,199.0,173.92,25.0,29,5.8,6.25,54.59,48.93,40.35
533,Ellie Halbauer,USA,f,U,420.0,173.92,23.0,6,1.18,6.66,46.7,44.5,20.0
534,Elliot Benchetrit,FRA,m,R,363.0,186.54,22.0,73,11.77,3.53,56.72,52.85,46.15
535,Elmar Ejupovic,BIH,m,R,429.0,186.54,28.0,17,4.29,4.01,62.87,55.73,42.11
536,Elsa Jacquemot,FRA,f,R,360.0,173.92,18.0,4,3.4,7.18,48.85,57.64,14.29
537,Emil Reinberg,USA,m,R,1358.0,186.54,21.0,4,1.65,3.18,56.89,44.82,42.86
538,Emil Ruusuvuori,FIN,m,R,72.0,188.0,22.0,58,5.53,5.45,61.93,54.45,61.9
539,Emiliana Arango,COL,f,R,256.0,173.92,20.0,9,0.33,5.47,50.25,52.69,29.41
540,Emilie Francati,DEN,f,U,707.29,173.92,19.0,7,0.17,8.28,62.59,67.79,85.71
541,Emilio Nava,USA,m,R,351.0,186.54,19.0,10,4.71,5.32,60.62,48.8,57.69
542,Emily Webley Smith,GBR,f,R,590.0,173.92,37.0,13,1.7,9.12,44.87,40.74,21.05
543,Emina Bektas,USA,f,U,240.0,173.92,28.0,9,2.38,4.49,57.6,58.53,35.71
544,Emma Navarro,USA,f,R,281.0,173.92,20.0,9,1.08,5.14,50.38,53.72,30.77
545,Emma Raducanu,GBR,f,R,23.0,175.0,18.0,4,4.01,5.44,54.87,54.63,58.33
546,En Shuo Liang,TPE,f,U,204.0,173.92,20.0,26,3.02,5.61,53.43,42.83,50.0
547,Ena Shibahara,USA,f,U,585.0,173.92,23.0,8,1.45,4.54,54.5,45.22,30.77
548,Enrico Becuzzi,ITA,m,R,-1.0,186.54,43.0,12,0.5,13.09,38.92,38.24,7.69
549,Enrico Dalla Valle,ITA,m,U,626.0,186.54,23.0,23,6.48,2.71,58.16,52.78,30.77
550,Enrique Lopez Perez,ESP,m,R,222.79,186.54,28.0,76,10.42,5.41,61.61,57.26,48.97
551,Enzo Couacaud,FRA,m,R,183.0,186.54,26.0,63,12.19,4.15,59.97,54.19,55.97
552,Enzo Wallart,FRA,m,U,1530.0,186.54,22.0,2,6.05,3.27,61.82,63.31,44.44
553,Ergi Kirkin,TUR,m,R,302.0,186.54,22.0,18,2.25,5.16,52.95,52.61,39.02
554,Eri Hozumi,JPN,f,R,361.0,173.92,27.0,21,2.06,3.21,52.06,49.81,39.58
555,Eric Johnson,USA,m,R,1002.08,186.54,24.0,5,1.27,5.96,57.98,45.19,58.33
556,Eric Quigley,USA,m,U,371.98,186.54,28.0,19,2.75,4.41,61.75,58.85,51.02
557,Erik Crepaldi,ITA,m,L,609.0,186.54,28.0,29,1.43,3.17,54.86,49.05,44.64
558,Erika Sema,JPN,f,U,593.0,173.92,29.0,7,0.6,3.88,47.19,46.37,33.33
559,Ernesto Escobedo,USA,m,R,161.0,186.54,25.0,81,16.22,4.32,63.59,58.46,55.68
560,Ernests Gulbis,LAT,m,R,196.0,190.0,32.0,70,12.61,7.97,59.66,55.07,43.56
561,Erwin Troebinger,ITA,m,U,-1.0,186.54,23.0,1,2.55,7.15,57.07,31.33,40.0
562,Esteban Bruna,CHI,m,U,2115.0,186.54,22.0,6,1.42,7.04,53.4,49.38,27.27
563,Eudice Wong Chong,HKG,f,U,507.0,173.92,23.0,8,0.54,4.34,52.57,40.59,40.0
564,Eugenie Bouchard,CAN,f,R,231.0,178.0,27.0,53,6.32,4.61,54.09,49.1,51.67
565,Eva Guerrero Alvarez,ESP,f,U,310.0,173.92,21.0,6,9.72,3.75,54.63,34.62,12.5
566,Evan Furness,FRA,m,R,276.0,186.54,23.0,32,7.3,5.21,58.07,58.13,46.67
567,Evan Hoyt,GBR,m,R,708.0,186.54,24.0,16,7.5,3.22,61.54,50.02,26.09
568,Evan King,USA,m,L,509.0,185.0,29.0,68,5.49,2.59,61.23,56.86,41.3
569,Evan Song,USA,m,U,624.0,186.54,28.0,40,4.84,2.5,57.97,56.17,45.54
570,Evan Zhu,USA,m,U,692.0,186.54,21.0,15,2.66,3.17,58.06,56.28,25.93
571,Evgenii Tiurnev,RUS,m,R,304.0,186.54,24.0,30,6.25,6.23,57.49,49.27,40.0
572,Evgeniya Rodina,RUS,f,R,1128.0,173.92,30.0,49,3.75,5.92,49.86,47.63,38.26
573,Evgeny Donskoy,RUS,m,R,171.0,185.0,31.0,109,12.24,3.12,61.72,55.07,49.37
574,Evgeny Elistratov,RUS,m,U,518.83,186.54,21.0,3,1.82,4.24,57.21,54.3,50.0
575,Evgeny Karlovskiy,RUS,m,R,280.0,186.54,27.0,93,6.12,5.86,59.49,54.49,46.64
576,Fabiano De Paula,BRA,m,R,731.77,186.54,28.0,15,0.58,2.2,53.98,51.09,34.62
577,Fabien Reboul,FRA,m,U,816.0,186.54,25.0,35,7.43,4.39,58.8,52.48,43.48
578,Fabrice Martin,FRA,m,R,182.31,186.54,32.0,10,7.98,4.38,61.91,53.48,31.25
579,Fabricio Neis,BRA,m,U,695.79,186.54,29.0,22,2.93,6.81,59.39,48.24,47.17
580,Fabrizio Ornago,ITA,m,U,502.0,186.54,28.0,30,2.47,5.26,58.16,50.29,33.33
581,Facundo Arguello,ARG,m,R,514.0,186.54,28.0,64,3.54,4.18,58.21,52.03,46.88
582,Facundo Bagnis,ARG,m,L,81.0,183.0,31.0,81,8.29,5.17,60.72,59.77,61.6
583,Facundo Diaz Acosta,ARG,m,L,341.0,186.54,20.0,12,2.71,6.95,59.46,46.52,51.35
584,Facundo Mena,ARG,m,R,210.0,186.54,28.0,64,6.01,4.59,56.74,50.0,44.74
585,Fajing Sun,CHN,m,U,591.0,186.54,23.0,25,2.64,3.05,57.62,51.91,34.38
586,Fang Ying Xun,CHN,f,U,270.0,173.92,26.0,15,3.64,8.0,49.57,48.91,42.86
587,Fangzhou Liu,CHN,f,R,409.0,173.92,24.0,17,4.24,3.33,51.4,44.37,37.74
588,Fanny Stollar,HUN,f,R,344.0,172.0,22.0,41,11.07,6.26,54.14,48.99,48.96
589,Federica Di Sarra,ITA,f,R,211.0,173.92,31.0,3,0.81,4.55,56.03,57.82,33.33
590,Federico Arnaboldi,ITA,m,U,547.0,186.54,20.0,5,1.86,7.36,56.36,58.14,12.5
591,Federico Coria,ARG,m,R,74.0,186.54,29.0,88,5.07,3.76,57.9,54.0,57.53
592,Federico Gaio,ITA,m,R,151.0,186.54,29.0,117,9.19,5.0,60.73,55.97,50.57
593,Federico Iannaccone,ITA,m,U,789.0,186.54,20.0,3,0.22,4.07,49.97,46.86,20.0
