,name,ioc,sex,hand,rank,ht,age,tourPlayed,maxAceSvpt,avgDfSvpt,1sv2svWon,bpS_bpF,win_ratio
919,Juan Carlos Saez,CHI,m,R,523.38,186.54,26.0,5,0.75,4.02,52.63,50.1,12.5
920,Juan Ignacio Galarza,ARG,m,R,734.0,186.54,24.0,26,3.69,4.61,59.14,55.56,50.0
921,Juan Ignacio Londero,ARG,m,R,158.0,186.54,27.0,90,7.92,4.1,59.8,54.51,54.88
922,Juan Lizariturry,ESP,m,U,801.67,186.54,25.0,3,0.82,7.18,57.17,50.65,50.0
923,Juan Manuel Benitez Chavarriaga,COL,m,U,1530.0,186.54,22.0,3,0.55,4.68,58.68,60.71,50.0
924,Juan Manuel Cerundolo,ARG,m,L,94.0,186.54,19.0,27,1.67,2.3,57.28,50.84,58.06
925,Juan Manuel Lopez,COL,m,U,1519.64,186.54,17.0,6,0.61,5.44,45.1,35.73,36.36
926,Juan Monaco,ARG,m,R,101.82,185.0,33.0,16,2.86,1.36,57.88,49.71,50.0
927,Juan Montes,ARG,m,U,1193.57,186.54,36.0,5,0.56,8.81,50.11,42.01,14.29
928,Juan Pablo Ficovich,ARG,m,R,279.0,186.54,24.0,45,4.9,3.27,59.5,56.56,49.61
929,Juan Pablo Paz,ARG,m,R,545.0,186.54,23.0,32,1.77,4.89,59.07,56.86,46.58
930,Juan Sebastian Gomez,COL,m,R,641.0,186.54,26.0,13,1.79,7.86,50.13,44.37,41.38
931,Jui Chen Hung,TPE,m,R,740.54,186.54,27.0,9,0.83,3.61,52.88,45.56,23.08
932,Jule Niemeier,GER,f,R,131.0,178.0,22.0,11,8.52,8.05,56.6,52.75,58.62
933,Jules Okala,FRA,m,U,494.0,186.54,23.0,11,2.96,4.89,54.42,49.53,40.0
934,Julia Boserup,USA,f,R,131.92,173.92,26.0,28,3.17,8.11,52.32,49.71,44.26
935,Julia Elbaba,USA,f,U,554.71,173.92,24.0,5,1.14,6.44,49.09,35.36,14.29
936,Julia Glushko,ISR,f,R,804.0,173.92,29.0,33,4.66,5.07,50.14,38.63,47.76
937,Julia Goerges,GER,f,R,33.43,180.0,31.0,47,11.53,5.51,60.06,58.29,62.0
938,Julia Grabher,AUT,f,R,191.0,173.92,25.0,23,1.64,9.31,50.96,42.49,29.73
939,Julian Bradley,IRL,m,U,1104.0,186.54,26.0,3,0.72,5.92,52.85,56.72,33.33
940,Julian Lenz,GER,m,R,314.0,186.54,28.0,56,4.4,5.73,58.24,49.15,44.35
941,Julian Ocleppo,ITA,m,R,368.0,186.54,24.0,36,8.9,5.48,57.02,49.28,33.33
942,Julian Onken,GER,m,U,784.0,186.54,29.0,3,0.95,3.15,56.94,47.56,50.0
943,Julian Reister,GER,m,R,578.8,188.0,30.0,6,0.44,4.07,58.88,49.21,60.0
944,Julian Zlobinsky,USA,m,R,1494.88,186.54,22.0,4,2.7,5.43,54.13,48.85,50.0
945,Julien Benneteau,FRA,m,R,199.89,185.0,36.0,37,9.24,5.22,61.43,56.95,54.62
946,Julien Cagnina,BEL,m,R,771.0,186.54,27.0,10,1.79,6.84,54.53,57.0,44.44
